title,property_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_date
"For sale: Luxury Estate In Enugu, ""sports Island.",Land,Helieu Residence • Jedidiah Estate • Almond Estate • Ap Gardens • Citiville Estate • ⁠new Kayetta Market Enugu Suburb Enugu Area,"₦30,000,000",,,,23 Nov 2025,18 Feb 2026
"For sale: Riverbank Estate Enugu, Luxury Living.",Land,Nike Lake Resort • Adjacent Vivian Estate • Elim Estate Enugu Area,"₦12,000,000",,,,23 Nov 2025,18 Feb 2026
For sale: 4bedroom Semi Detached Duplex,House,Orchid Lekki Lagos Lekki Lagos,"₦260,000,000",4,,,23 Nov 2025,18 Feb 2026
For sale: Spacious 2bedroom Fully Serviced Apartments,Flat & Apartment,Ologolo Lekki Lagos,"₦140,000,000",2,,,16 Feb 2026,18 Feb 2026
For sale: For Sale: Charming 1 Bedroom Apartment With A Ac's And Pool,Flat & Apartment,Lekki Right Lekki Phase 1 Lagos,"₦230,000,000",1,1,2,18 Jan 2026,18 Feb 2026
For sale: Luxury 4bedroom Fully Detached Duplex,House,Ajah Lagos,"₦230,000,000",4,,,30 Nov 2025,18 Feb 2026
For sale: Luxury High Floor 3 Bedroom Apartment +bq+pool+gym+tennis Etc X 2yrs,Flat & Apartment,Banana Island Estate Banana Island Ikoyi Lagos,"₦750,000,000",3,3,4,15 Mar 2025,18 Feb 2026
For sale: Detached 5 Bedroom House Within Shared Premises +2bq+ Elevator Etc,House,Old Ikoyi Lagos,"₦2,150,009,990",5,5,6,09 Jan 2026,18 Feb 2026
For sale: Land Measuring 202 Plots By The Coastal Road,Land,"By The Coastal Road, Off Monastery Road Ajah Lagos","₦280,000,000",,,,29 Nov 2025,18 Feb 2026
For sale: 2bedroom Apartment Available For Sale,House,Chevron Toll Gate Lagos Chevron Drive Lekki Lagos,"₦90,000,000",,,,04 Dec 2025,18 Feb 2026
For sale: 4bedroom Semi Detached Duplex For Sale,House,Ajah Lagos,"₦150,000,000",,,,26 Nov 2025,18 Feb 2026
For sale: 4bedroom Semi Detached Duplex For Sale,House,Ajah Lagos,"₦150,000,000",,,,26 Nov 2025,18 Feb 2026
"For sale: Luxuriously Finished 3 Bedroom Apartment With Bq, Gym & Swimming Pool",Flat & Apartment,Banana Island Ikoyi Lagos,"₦950,000,000",3,3,4,11 Feb 2026,18 Feb 2026
For sale: 🏡 For Sale | 5 Bedroom Fully Detached Duplex,House,Ajah Lagos,"₦350,000,000",5,,,27 Dec 2025,18 Feb 2026
For sale: Premium 4 Bedroom Apartment + Swimming Pool+ Elevator Etc Off Banana Island Road Ikoyi,Flat & Apartment,Banana Island Ikoyi Lagos,"₦765,000,000",4,4,5,01 Aug 2025,18 Feb 2026
For sale: Premium 3 Bedroom Apartment + Bq + Gym + Pool,Flat & Apartment,Old Ikoyi Lagos,"₦700,000,000",3,3,4,24 Nov 2025,18 Feb 2026
For sale: 1 Storey Building Commercial Property,Flat & Apartment,Futo/obinze Road Off Futo Junction Ph Road Owerri Imo,"₦130,000,000",,,,24 Dec 2025,18 Feb 2026
"For sale: Luxury Estate In Enugu, ""sports Island.",Land,Helieu Residence • Jedidiah Estate • Almond Estate • Ap Gardens • Citiville Estate • ⁠new Kayetta Market Enugu Suburb Enugu Area,"₦30,000,000",,,,23 Nov 2025,18 Feb 2026
"For sale: Riverbank Estate Enugu, Luxury Living.",Land,Nike Lake Resort • Adjacent Vivian Estate • Elim Estate Enugu Area,"₦12,000,000",,,,23 Nov 2025,18 Feb 2026
For sale: 4bedroom Semi Detached Duplex,House,Orchid Lekki Lagos Lekki Lagos,"₦260,000,000",4,,,23 Nov 2025,18 Feb 2026
For sale: Lakowe Annex Plots Inside Lagos New Town (lnt).,Land,Lakowe Golf And Country Estates Lekki Expressway Lagos,"₦1,020,000,000",,,,23 Nov 2025,18 Feb 2026
For sale: A Vacant School Suitable For Residential Available For Sale,House,Meiran Off Abule Egba Lagos Abule Egba Lagos,"₦20,000,000",,,,04 Dec 2025,18 Feb 2026
For sale: Premium Waterfront 3 Bedroom Apartment+swimming Pool+gym+ Bq In Banana Island Estate Ikoyi,Flat & Apartment,Banana Island Ikoyi Lagos,"₦850,000,000",3,3,4,30 Jul 2025,18 Feb 2026
For sale: Luxury 4 Bedroom Apartment + Swimming Pool+gym+ Bq In Banana Island Estate Ikoyi,Flat & Apartment,Banana Island Ikoyi Lagos,"₦1,000,000,000",4,4,5,30 Jul 2025,18 Feb 2026
For sale: Newly Built 5 Bedroom Terrace House In Old Ikoyi,House,Old Ikoyi Lagos,"₦1,500,000,000",5,5,6,23 Jul 2025,18 Feb 2026
For sale: *free Fencing For The First 60buyers The Aviara Residence – Aiyetoro*,Land,Aiyetoro Ibejulekki Ibeju Lekki Lagos,"₦35,000,000",,,,16 Feb 2026,18 Feb 2026
"For sale: Residential Plots Now Selling At Majestic City Estate, Beside Novare Mall Shoprite Sangotedo.",Land,Lagos Business School ✅ Sky Mall ✅ Novare Mall Shoprite ✅ Mater Ecclesiae Monastery Sangotedo Ajah Lagos,"₦55,000,000",,,,09 Jan 2026,18 Feb 2026
For sale: Fully Detached 4 Bedroom Duplex At Vista Residence Ajah,House,"Laps Business School, Novare Mall Shoprite. Sangotedo Ajah Lagos","₦160,000,000",4,4,5,15 Jan 2026,18 Feb 2026
For sale: Stunning 5 Bedroom Detached Duplex With Swimming Pool And Bq,House,Chevron Tollgate Lekki Lagos,"₦400,000,000",5,5,6,18 Jan 2026,18 Feb 2026
For sale: Amazing & Spacious 5 Bedroom Detached Duplex With Bq,House,Chevron Drive Lekki Lagos,"₦400,000,000",5,5,6,18 Jan 2026,18 Feb 2026
For sale: Luxury 3 Bedroom Apartment +bq+pool+ Gym,Flat & Apartment,Banana Island Estate Banana Island Ikoyi Lagos,"₦750,000,000",3,2,3,21 Aug 2024,18 Feb 2026
For sale: 5 Bedroom Fully Detached Duplex,House,Lekki Phase 1 Lagos,"₦850,000,000",5,6,6,02 Jan 2026,18 Feb 2026
For sale: Luxury 4 Bedroom Apartment + Bq+pool+gym+tennis Etc,Flat & Apartment,Ikoyi Lagos,"₦999,999,999",4,4,5,18 Mar 2025,18 Feb 2026
For sale: Luxury 3 Bedroom Apartment +bq+pool+gym,Flat & Apartment,Victoria Island Lagos,"₦650,000,000",3,3,4,08 Apr 2025,18 Feb 2026
For sale: Well Maintained & Serviced 5 Bedroom Semi Detached Duplex,House,Osapa Lekki Lagos,"₦390,000,000",5,5,6,29 Nov 2025,18 Feb 2026
For sale: Fairmont Green And Smart Estate Commercial,Land,Verified Land With Cofo Ibeju Lekki Lagos,"₦40,000,000",,,,17 Apr 2023,18 Feb 2026
"For sale: Blossom Garden Estate, Peaceful Land To Build In Enugu.",Land,"Shoprite, Diamond Estate, Legacy Estate Along Onisha Express Way. Nkanu East Enugu","₦12,000,000",,,,03 Dec 2025,18 Feb 2026
For sale: Build Your Home Beside Novare Mall Shoprite Sangotedo,Land,"Novare Mall Shoprite, Lagos Business School, Sky Mall, Mater Ecclesiae Monastery. Sangotedo Ajah Lagos","₦37,000,000",,,,09 Jan 2026,18 Feb 2026
"For sale: Luxury, Brand New 4 Bedroom Semi Detached Duplex",House,Ikota Lekki Phase 2 Lagos,"₦190,000,000",4,4,5,20 Nov 2025,18 Feb 2026
For sale: Two Plots Fully Fenced Round,Land,Umoku Avu. Owerri Imo,"₦26,000,000",,,,24 Dec 2025,18 Feb 2026
For sale: 5bedroom Fully Detached Duplex,House,Ajah Lagos,"₦350,000,000",5,,,09 Jan 2026,18 Feb 2026
For sale: Premium 4 Bedroom Terrace House + Bq + Gym + Pool,House,Banana Island Ikoyi Lagos,"₦1,400,000,000",4,4,5,24 Nov 2025,18 Feb 2026
For sale: 4bedroom Semi Detached Duplex For Sale,House,Vgc Lekki Victoria Garden City Lekki Lagos,"₦160,000,000",4,,,22 Dec 2025,18 Feb 2026
For sale: New Luxury 3 Bedroom Apartment +bq+pool,Flat & Apartment,Banana Island Estate Banana Island Ikoyi Lagos,"₦899,000,000",3,3,4,24 Sep 2025,18 Feb 2026
For sale: Luxury 5 Bedroom Detached House Within Shared Premises,House,Old Ikoyi Lagos,"₦2,250,000,000",5,5,6,08 Sep 2025,18 Feb 2026
For sale: Luxury 2 Bedroom Apartment +pool+gym,Flat & Apartment,Ikoyi South West Lagos,"₦400,000,000",2,2,3,17 Jul 2025,18 Feb 2026
For sale: Luxury 4 Bedroom Terrace House +bq+elevator,House,Parkview Estate Ikoyi Lagos,"₦855,000,000",4,4,5,17 Jul 2025,18 Feb 2026
For sale: 3 Government Allocation Plots Of Corner Piece Land,Land,Housing Area T New Owerri Layout Owerri Imo,"₦400,000,000",,,,05 Feb 2026,18 Feb 2026
"For sale: Luxury, Brand New 4 Bedroom Semi Detached Duplex",House,Ikota Lekki Phase 2 Lagos,"₦190,000,000",4,4,5,20 Nov 2025,18 Feb 2026
For sale: New Luxury 3 Bedroom Apartment +bq+pool,Flat & Apartment,Banana Island Estate Banana Island Ikoyi Lagos,"₦899,000,000",3,3,4,24 Sep 2025,18 Feb 2026
For sale: Luxury 5 Bedroom Detached House Within Shared Premises,House,Old Ikoyi Lagos,"₦2,250,000,000",5,5,6,08 Sep 2025,18 Feb 2026
For sale: Luxury 2 Bedroom Apartment +pool+gym,Flat & Apartment,Ikoyi South West Lagos,"₦400,000,000",2,2,3,17 Jul 2025,18 Feb 2026
For sale: Luxury 4 Bedroom Terrace House +bq+elevator,House,Parkview Estate Ikoyi Lagos,"₦855,000,000",4,4,5,17 Jul 2025,18 Feb 2026
For sale: 4bedroom Terrace Duplex For Sale,House,Jahi Abuja Phase 2,"₦450,000,000",4,,,11 Dec 2025,18 Feb 2026
For sale: Luxury 3 Bedroom Apartment +bq+pool+gym+tennis,Flat & Apartment,Old Ikoyi Lagos,"₦745,000,000",3,3,4,16 Dec 2025,18 Feb 2026
"For sale: Jennifer Gardens Estate, Ibeju Lekki",Land,"Amen Estate Phase 1, New Coastal Road, Amen Estate Phase 2. Eleko Ibeju Lekki Lagos","₦55,000,000",,,,11 Dec 2025,18 Feb 2026
For sale: Nicely Finished 5 Bedroom Fully Detached Duplex,House,Bridge Gate Estate Agungi Lekki Lagos,"₦250,000,000",5,5,6,29 Nov 2025,18 Feb 2026
For sale: Invest In Liberty Island,Land,Pre Launch Price Awoyaya Ajah Lagos,"₦5,000,000",,,,10 May 2025,18 Feb 2026
For sale: Transit Estate Phase 2,Land,"Goal Media, Nat L Museum, Sismo Motors. Nkanu East Enugu","₦3,500,000",,,,03 Dec 2025,18 Feb 2026
"For sale: Lovely 3 Bedroom Terrace Duplex, Vista Residence Ajah",House,Lagos Business School ✅ Sky Mall ✅ Novare Mall Shoprite ✅ Mater Ecclesiae Monastery Sangotedo Ajah Lagos,"₦110,000,000",3,3,4,15 Jan 2026,18 Feb 2026
For sale: Buy And Build Estate With C Of O In Ajah Lagos.,Land,Addo Road Ajah. Addo Ajah Lagos,"₦90,000,000",,,,01 Feb 2026,18 Feb 2026
For sale: 5 Bed Waterfront Mansion With Private Jetty,House,Banana Island Ikoyi Lagos,"$25,000,000",5,7,7,26 Dec 2025,18 Feb 2026
For sale: Premium 3 Bedroom Apartment,Flat & Apartment,Off Awolowo Road Awolowo Road Ikoyi Lagos,"₦650,000,000",3,3,4,29 Aug 2025,18 Feb 2026
For sale: 4 Bedroom Ensuite Duplex With 2 Parlours,House,Umu Odu Of Rochas Estate Owerri Imo,"₦85,000,000",4,5,5,24 Dec 2025,18 Feb 2026
For sale: A Cool Sale Of Almost Half Plot Of Land,Land,"Off Agbe Road, Olaniyi Abule Egba Abule Egba Lagos","₦35,000,000",,,,10 Jan 2026,18 Feb 2026
For sale: New & Luxury 3 Bedroom Apartment + Bq+pool,Flat & Apartment,Old Ikoyi Lagos,"₦1,400,000,000",3,3,4,18 Aug 2024,18 Feb 2026
For sale: Fresh Listing! 4 Bedroom Apartment + Bq+gym+pool Etc,Flat & Apartment,Banana Island Estate Banana Island Ikoyi Lagos,"₦1,000,000,000",4,4,5,12 Nov 2024,18 Feb 2026
For sale: Luxury 3 Bedroom Apartment +bq+pool+gym Etc,Flat & Apartment,Banana Island Estate Banana Island Ikoyi Lagos,"₦845,000,000",3,3,4,05 Jan 2026,18 Feb 2026
For sale: Luxury 4 Bedroom Apartment+ 2bq+squash+pool+gym Etc,Flat & Apartment,Old Ikoyi Lagos,"₦2,700,000,000",4,4,5,18 Mar 2025,18 Feb 2026
For sale: Newly Built 4bedroom Semi Detached Duplex And Bq With Governor Consent,House,Beach View Off Lekki Epe Express Way Okun Ajah Ajah Lagos,"₦250,000,000",,,,28 Jan 2026,18 Feb 2026
"For sale: Fully Finished Detached 3 Bedroom Bungalow Now Selling At Civic Residence Estate, Abraham Adesanya Ajah",House,"Atlantic Nominee Layout Estate, Abraham Adesanya Ajah Lagos","₦100,000,000",3,3,,11 Feb 2026,18 Feb 2026
For sale: Fully Fenced And Dry Land Measuring 750 Square Meters,Land,Off Banana Island Road Ikoyi Lagos,"₦3,000,000/sqm",,,,29 Nov 2025,18 Feb 2026
For sale: Brand New & Fully Serviced Four (4) Bedroom Terrace Duplex With Bq & Swimming Pool,House,"Oniru, Victoria Island (vi), Lagos Oniru Victoria Island Lagos","₦700,000,000",4,4,5,11 Feb 2026,18 Feb 2026
For sale: Lovely 3 Bedroom Maisonette,House,"Lakowe Lakes, Coscharis Motors Oribanwa Ibeju Lekki Lagos","₦385,700,000",3,3,4,28 Dec 2025,18 Feb 2026
For sale: Lovely 2 Bedroom Apartment In Ikeja,House,Ikorodu Road Maryland Ikeja Lagos,"₦200,000,000",2,2,3,02 Jan 2026,18 Feb 2026
For sale: Newly Built 6 Bedroom Detached House+2bq,House,Old Ikoyi Lagos,"₦2,000,000,000",6,6,7,09 Sep 2025,18 Feb 2026
"For sale: Lakowe Heights Luxury 1 Bedroom Apartment, Type A.",House,"Lokowe Golf, Lakowe Lakes. Lakowe Ajah Lagos","₦309,309,000",1,1,2,08 Jan 2026,18 Feb 2026
For sale: 4bedroom Terrace Duplex For Sale,House,Jahi Abuja Phase 2,"₦450,000,000",4,,,11 Dec 2025,18 Feb 2026
For sale: 5 Bed Waterfront Mansion With Private Jetty,House,Banana Island Ikoyi Lagos,"$25,000,000",5,7,7,26 Dec 2025,18 Feb 2026
For sale: Exquisite Lekki Phase 1 5units Of 5 Bedrooms Fully Detached Duplex For Sale*🔌,House,Lekki Enclave Estate By Earl Court Nike Art Gallery Lekki Phase 1 Right Lekki Phase 1 Lagos,"₦820,000,000",5,,,04 Nov 2025,18 Feb 2026
For sale: 4 Bedroom Ensuite Duplex With 2 Parlours,House,Umu Odu Of Rochas Estate Owerri Imo,"₦85,000,000",4,5,5,24 Dec 2025,18 Feb 2026
"For sale: Lovely 3 Bedroom Terrace Duplex, Vista Residence Ajah",House,Lagos Business School ✅ Sky Mall ✅ Novare Mall Shoprite ✅ Mater Ecclesiae Monastery Sangotedo Ajah Lagos,"₦110,000,000",3,3,4,15 Jan 2026,18 Feb 2026
For sale: Nicely Finished 5 Bedroom Fully Detached Duplex,House,Bridge Gate Estate Agungi Lekki Lagos,"₦250,000,000",5,5,6,29 Nov 2025,18 Feb 2026
For sale: Transit Estate Phase 2,Land,"Goal Media, Nat L Museum, Sismo Motors. Nkanu East Enugu","₦3,500,000",,,,03 Dec 2025,18 Feb 2026
For sale: Buy And Build Estate With C Of O In Ajah Lagos.,Land,Addo Road Ajah. Addo Ajah Lagos,"₦90,000,000",,,,01 Feb 2026,18 Feb 2026
For sale: Premium 3 Bedroom Apartment,Flat & Apartment,Off Awolowo Road Awolowo Road Ikoyi Lagos,"₦650,000,000",3,3,4,29 Aug 2025,18 Feb 2026
For sale: Luxury 3 Bedroom Apartment +bq+pool+gym+tennis,Flat & Apartment,Old Ikoyi Lagos,"₦745,000,000",3,3,4,16 Dec 2025,18 Feb 2026
"For sale: Jennifer Gardens Estate, Ibeju Lekki",Land,"Amen Estate Phase 1, New Coastal Road, Amen Estate Phase 2. Eleko Ibeju Lekki Lagos","₦55,000,000",,,,11 Dec 2025,18 Feb 2026
For sale: A Cool Sale Of Almost Half Plot Of Land,Land,"Off Agbe Road, Olaniyi Abule Egba Abule Egba Lagos","₦35,000,000",,,,10 Jan 2026,18 Feb 2026
For sale: Luxury 3 Bedroom Apartment +bq+pool+gym Etc,Flat & Apartment,Banana Island Estate Banana Island Ikoyi Lagos,"₦845,000,000",3,3,4,05 Jan 2026,18 Feb 2026
For sale: Fresh Listing! 4 Bedroom Apartment + Bq+gym+pool Etc,Flat & Apartment,Banana Island Estate Banana Island Ikoyi Lagos,"₦1,000,000,000",4,4,5,12 Nov 2024,18 Feb 2026
For sale: Don’t Miss This Exquisite Buy And Build Plots Of Lands,Land,Title Governors Consent Back Of The Biggest Shoprite In Nigeria Sangotedo Ajah Lagos,"₦90,000,000",,,,25 Jul 2024,18 Feb 2026
For sale: Luxury 3 Bedroom Apartment +bq+pool+gym Etc,Flat & Apartment,Banana Island Estate Banana Island Ikoyi Lagos,"₦845,000,000",3,3,4,05 Jan 2026,18 Feb 2026
For sale: Fresh Listing! 4 Bedroom Apartment + Bq+gym+pool Etc,Flat & Apartment,Banana Island Estate Banana Island Ikoyi Lagos,"₦1,000,000,000",4,4,5,12 Nov 2024,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Elevator + Swimming Pool,House,Pinnock Beach Estate Osapa London Lekki Lagos,"₦1,600,000,000",5,5,6,21 May 2024,18 Feb 2026
For sale: Luxury 400sqm And 800sqm Residential Plots In A Beautiful Estate,Land,Hampton Bay Estate Ikate Elegushi Lekki Lagos,"₦380,000,000",,,,04 Oct 2023,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Semi Detached Duplex,House,Idu By Turkish Hospital Karmo Abuja Phase 3,"₦250,000,000",5,5,6,14 Dec 2024,18 Feb 2026
For sale: Affordable 5 Bedroom Detached Duplex With Swimming Pool + Cinema,House,Victory Park Estate Osapa London Lekki Lagos,"₦600,000,000",5,5,6,31 Jan 2025,18 Feb 2026
For sale: Dariann Court,House,Ajah Lagos,"₦120,000,000",4,,,23 Apr 2025,18 Feb 2026
"For sale: *city View Park & Resort, Gwagwalada, Abuja.*",Land,Cofo Gwagwalada Abuja Phase 4,"₦8,000,000",,,,09 Apr 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool + Cinema,House,Lakeview Phase 2 Estate Orchid Hotel Road Chevron Drive Lekki Lagos,"₦750,000,000",5,5,6,09 Jul 2025,18 Feb 2026
For rent: Corporate 4 Bedroom Apartment +bq+gym+tennis Etc,Flat & Apartment,Old Ikoyi Lagos,"₦55,000,000",4,4,5,13 Nov 2025,15 Feb 2026
For sale: Affordable 5 Bedroom Detached Duplex,House,Ologolo Lekki Lagos,"₦350,000,000",5,5,6,02 Jul 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool + Cinema,House,Osapa London Lekki Lagos,"₦650,000,000",5,5,6,04 Jul 2025,18 Feb 2026
For sale: Affordable 5 Bedroom Detached Duplex With Swimming Pool,House,Ologolo Lekki Lagos,"₦300,000,000",5,5,6,05 Jul 2025,18 Feb 2026
For sale: Tastefully Finished 4 Bedroom Terrace Duplex With Swimming Pool + Gym,House,Parkview Estate Ikoyi Lagos,"₦1,200,000,000",4,4,5,29 Jun 2025,18 Feb 2026
For sale: Luxury 1 Bedroom Apartment With Excellent Finishing,Flat & Apartment,Whitesand School Lekki Phase 1 Lagos,"₦120,000,000",1,1,2,18 Jun 2025,18 Feb 2026
For sale: Tastefully Finished 2 Bedroom Apartment With Swimming Pool + Gym,Flat & Apartment,Off Admiralty Way Lekki Phase 1 Lagos,"₦270,000,000",2,2,3,15 Jul 2025,18 Feb 2026
For sale: Primed 675sqm & 1700sqm Residential Plot In A Beautiful Estate,Land,Victoria Garden City Lekki Lagos,"₦340,000,000",,,,16 Jul 2025,18 Feb 2026
For sale: 1bedroom Apartment *de Avocado Smart And* *luxury Homes 2.0 Abijo* *(inside Chois Garden* *estate)*,Flat & Apartment,Inside Chois Garden Estate Abijo Ajah Lagos,"₦60,000,000",1,,,07 Jul 2025,18 Feb 2026
For sale: 2bedroom Apartment *de Avocado Smart And* *luxury Homes 2.0 Abijo* *(inside Chois Garden* *estate)*,Flat & Apartment,Inside Chois Estate Abijo Ajah Lagos,"₦70,000,000",2,,,07 Jul 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool + Cinema,House,Lekki County Homes Estate ( Megamond) Lekki Phase 1 Lagos,"₦500,000,000",5,5,6,27 Jul 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Elevator + Swimming Pool + Cinema,House,Hampton Bay Estate Lekki Phase 1 Lagos,"₦750,000,000",5,5,6,04 Aug 2025,18 Feb 2026
For sale: Tastefully Finished 4 Bedroom Terrace Duplex With Swimming Pool,House,Life Camp Abuja Phase 3,"₦330,000,000",4,4,5,30 Jul 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Cinema + Swimming Pool,House,Northernforesure Estate Chevron Drive Lekki Lagos,"₦1,500,000,000",5,5,6,07 Nov 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool In An Elite Estate,House,Guzape Abuja Phase 1,"₦2,200,000,000",5,5,6,21 Jan 2026,18 Feb 2026
For sale: Well Built 6bedroom Fully Detached Duplex With 2no Minflat And 2no Self Contained,House,"Very Close To The Road, Eputu London Eputu Ibeju Lekki Lagos","₦150,000,000",,,,22 Jan 2026,18 Feb 2026
For sale: Tastefully Finished 4 Bedroom Terrace Duplex With Bq,House,Jahi Abuja Phase 2,"₦500,000,000",4,4,5,19 Jan 2026,18 Feb 2026
For sale: Semi Finished 6 Bedroom Detached Duplex With Elevator Shaft,House,Maitama Abuja Phase 1,"₦3,500,000,000",6,6,7,14 Nov 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool,House,Kado Abuja Phase 2,"₦800,000,000",5,5,6,16 Nov 2025,18 Feb 2026
For sale: Tastefully Finished 3 Bedroom Apartment With Bq,Flat & Apartment,Lekki Phase 1 Lagos,"₦430,000,000",3,3,4,23 Oct 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Semi Detached Duplex With Swimming Pool,House,Cowrie Creek Estate Ikate Lekki Phase 1 Lagos,"₦950,000,000",5,5,6,23 Oct 2025,18 Feb 2026
For sale: 🏡 For Sale | 5 Bedroom Fully Detached Duplex,House,Ikoyi Lagos,"₦2,300,000,000",5,,,24 Oct 2025,18 Feb 2026
For rent: Tastefully Renovated 2 Bedroom Apartment,Flat & Apartment,Magboro Lagos Extension Ogun,"₦1,100,000/year",2,3,3,12 Dec 2025,14 Feb 2026
"For sale: For Sale | 5 Bedroom Detached Duplex Mansion With Cinema, Swimming Pool, Garden & Bq",House,Osapa Lekki Lagos,"₦1,500,000,000",5,,,24 Oct 2025,18 Feb 2026
For sale: Luxury 4 Bedroom Terrace Duplex With Bq,House,Aso Drive Maitama Abuja Phase 1,"₦900,000,000",4,4,5,12 Nov 2025,18 Feb 2026
For sale: 2400sqm Commercial Plot Facing Lekki Epe Express Way,Land,Lekki Epe Express Way Lekki Phase 1 Lagos,"₦3,000,000,000",,,,31 Oct 2025,18 Feb 2026
For sale: Massive 6 Bedroom Detached Duplex With 2 Rooms Bq,House,Efab Queens Karsana Karsana Abuja Phase 3,"₦450,000,000",6,6,7,19 Aug 2025,18 Feb 2026
For sale: Affordable 3 Bedroom Detached Bungalow,House,Efab Verizon Karsana Abuja Phase 3,"₦145,000,000",3,3,4,19 Aug 2025,18 Feb 2026
For sale: Massive 3 Bedroom Detached Bungalow,House,Efab Verizon Karsana Abuja Phase 3,"₦145,000,000",3,3,4,19 Aug 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Elevator Shaft,House,Wuse Zone 7 Wuse Abuja Phase 1,"₦800,000,000",5,5,6,19 Aug 2025,18 Feb 2026
For sale: Affordable 5 Bedroom Detached Duplex With Bq,House,Lekki Phase 1 Lagos,"₦850,000,000",5,5,6,05 Feb 2026,18 Feb 2026
For sale: Tastefully Finished 4 Bedroom Terrace Duplex,House,Freedom Way Lekki Phase 1 Lagos,"₦450,000,000",4,4,5,05 Feb 2026,18 Feb 2026
For sale: Tastefully Finished 4 Bedroom Maisonette,House,Banana Island Ikoyi Lagos,"₦80,000,000",4,4,6,14 Feb 2026,18 Feb 2026
For sale: Most Affordable 1bedroom Apartments,Flat & Apartment,Mobil Road Ajah Lagos,"₦60,000,000",1,,,31 Jan 2026,18 Feb 2026
For sale: Magnificent 5bedroom With Private Pool,House,Chevron Toll Gate Lekki Lagos,"₦480,000,000",5,,,22 Jan 2026,18 Feb 2026
For sale: 3 & 4 Bedroom Terrace Duplexes For Sale,House,Ikota Lekki Lekki Lagos,"₦120,000,000",3,,,22 Oct 2025,18 Feb 2026
For sale: Brand New 3 & 4 Bedroom Terrace Duplex For Sale,House,Ikota Lekki Lagos,"₦90,000,000",3,,,22 Oct 2025,18 Feb 2026
For sale: Affordable 3 Bedroom Semi Detached Duplex With Bq,House,Life Camp Abuja Phase 3,"₦180,000,000",3,3,4,13 Sep 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool + Cinema,House,Lekki County Homes Estate Ikota Lekki Lagos,"₦650,000,000",5,5,6,14 Sep 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool,House,Discovery Estate Chevron Drive Lekki Lagos,"₦450,000,000",5,5,6,14 Sep 2025,18 Feb 2026
For sale: A Contemporary 6 Bedroom Fully Detached Duplex,House,Chevron Lekki Lekki Lagos,"₦750,000,000",6,,,27 Sep 2025,18 Feb 2026
For sale: Massive 5 Bedroom Detached Duplex With Swimming Pool,House,Katampe Ext. Abuja Phase 2,"₦1,100,000,000",5,5,6,28 Sep 2025,18 Feb 2026
For sale: Tastefully 3bedroom Bungalow,House,House 3 White Gold Street Treasure Island Mowe Ofada Mowe Ogun Area,"₦25,000,000",3,,,05 Sep 2025,18 Feb 2026
For sale: Luxury 5 Bedroom Detached Duplex With Elevator Shaft,House,Jabi Abuja Phase 2,"₦1,100,000,000",5,5,6,17 Sep 2025,18 Feb 2026
For rent: 5 Bedroom Town House With A Room Bq,House,"Tokunbo Omisore Street, Lekki Phase 1 Lagos","₦30,000,000",,,,10 Feb 2026,18 Feb 2026
For sale: Luxury Spacious 4 Bedroom Apartment With Incredible Views,Flat & Apartment,Old Ikoyi Lagos,"₦1,500,000,000",4,4,5,08 Oct 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool,House,Orchid Hotel Road Chevron Drive Lekki Lagos,"₦450,000,000",5,5,6,10 Oct 2025,18 Feb 2026
For sale: Massive 4 Bedroom Terrace Duplex With Bq,House,Idu By Nizamiye Hospital Karmo Abuja Phase 3,"₦230,000,000",4,4,5,01 Oct 2025,18 Feb 2026
For sale: Land Measuring 1139 Sqm,Land,Lekki Phase 1 Lagos,"₦1,300,000,000",,,,02 Oct 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex In A Beautiful Estate,House,Cosgrove Estate Wuye Abuja Phase 2,"₦850,000,000",5,5,6,18 Aug 2025,18 Feb 2026
For sale: Modern Fully Detached Duplex,House,Lekki Phase 1 Lagos,"₦850,000,000",5,,,02 Oct 2025,18 Feb 2026
For sale: Massive 6 Bedroom Detached Duplex With Excellent Finishing,House,Katampe Ext. Abuja Phase 2,"₦1,500,000,000",6,6,7,01 Feb 2026,18 Feb 2026
