,title,property_type,location,price,price_category,bedroom,bathroom,price_per_bedroom,added_date,updated_date,month_added,state
0,Government Allocation Land,land,"iberekodo, ibeju lekki, lagos",50000000.0,mid,,,,2026-05-01,2026-01-24,2026-05,Lagos
1,Luxury 5 Bedroom Detached Duplex With Bq And Pool In A Secured Estate,detached duplex,"chevron toll gate, lekki, lagos",450000000.0,high,5.0,5.0,90000000.0,,2026-01-20,NaT,Lagos
2,4 Bedroom Semi-detached Duplex With Bq,semi detached duplex,"idado, lekki, lagos",250000000.0,high,4.0,5.0,62500000.0,,2026-01-24,NaT,Lagos
3,The Most Affordable  Self Compound  Semi Detached With Bq,semi detached duplex,"chevron toll gate,   orchid road, lekki, lagos",150000000.0,high,4.0,4.0,37500000.0,,2026-01-24,NaT,Lagos
4,Alluring And Fantastic 4 Bedroom Detached Duplex,detached duplex,"lekki, lagos",350000000.0,high,5.0,5.0,70000000.0,,2026-01-24,NaT,Lagos
5,Exquisite And Elegant 4 Bedroom Semi-detached Duplex With Bq,semi detached duplex,"chevron tollgate, lekki, lagos",300000000.0,high,4.0,4.0,75000000.0,,2026-01-24,NaT,Lagos
6,"Elegant, Brand New 4 Bedroom Semi-detached Duplex",semi detached duplex,"by chevron tollgate, lekki, lagos",210000000.0,high,4.0,5.0,52500000.0,2025-08-10,2026-01-24,2025-08,Lagos
7,Five Bedroom Fully Detached Duplex,fully detached,"chevron, lekki, lagos",450000000.0,high,5.0,5.0,90000000.0,,2025-12-30,NaT,Lagos
8,Residential Plot Of Land,land,"chevron, lekki, lagos",195000000.0,high,,,,,2026-01-24,NaT,Lagos
9,"Lovely 3 Bedroom Terrace Duplex With Bq, Pool, Kid's Play Area",house,"ikate, lekki, lagos",180000000.0,high,3.0,3.0,60000000.0,,2026-01-24,NaT,Lagos
10,Four Bedroom Terrace Duplex,house,"ikota, lekki, lagos",150000000.0,high,4.0,4.0,37500000.0,2026-06-01,2026-01-20,2026-06,Lagos
11,Two Bedroom Apartments,flat/apartment,"ologolo, lekki, lagos",150000000.0,high,2.0,2.0,75000000.0,2026-06-01,2026-01-20,2026-06,Lagos
12,Luxury Four Bedroom Semi Detached Duplex,semi detached duplex,"cowrie creek, ikate elegushi, lekki, lagos",900000000.0,high,4.0,4.0,225000000.0,,2025-12-30,NaT,Lagos
13,"Contemporary, Superb 5 Bedroom Detached Duplex With Boy's Quarter",detached duplex,"agungi, lekki, lagos",400000000.0,high,5.0,5.0,80000000.0,,2026-01-24,NaT,Lagos
14,Elegant 4 Bedroom Terrace Duplex With Bq In A Prime Location,house,"lekki right, lekki phase 1, lekki, lagos",400000000.0,high,4.0,4.0,100000000.0,,2026-01-24,NaT,Lagos
15,Luxury Two Bedroom Apartment,flat/apartment,"lekki phase 1, lekki, lagos",320000000.0,high,2.0,2.0,160000000.0,,2026-01-05,NaT,Lagos
16,Large 2 Bedroom Flat,flat/apartment,"lekki phase 1, lekki, lagos",300000000.0,high,2.0,2.0,150000000.0,,2026-01-19,NaT,Lagos
17,Few Plot Of Land For Residential Available In Maryland,land,"maryland, ikeja, lagos",250000000.0,high,,,,,2026-01-24,NaT,Lagos
18,Available Plots Buy/build For Residential And Commercial In Omole,land,"by olowora, by berger bus stop area, omole phase 2, ikeja, lagos",300000000.0,high,,,,2024-05-11,2026-01-24,2024-05,Lagos
19,3 Bedroom Bungalow With Bq And Solar Available In Ibeju Lekki,bungalow,"eleranigbe, ibeju lekki, lagos",69000000.0,high,3.0,3.0,23000000.0,,2026-01-24,NaT,Lagos
20,Luxury Apartments Off Plan In Maryland,land,"oki lene,  fab court, maryland, lagos",350000000.0,high,3.0,3.0,116666666.7,,2026-01-24,NaT,Lagos
21,2 Bedroom Apartment,flat/apartment,"ikate, lekki, lagos",160000000.0,high,2.0,2.0,80000000.0,2026-07-01,2026-01-21,2026-07,Lagos
22,Luxury 3bed Room With A Bq,flat/apartment,"femi phares, victoria island (vi), lagos",550000000.0,high,3.0,3.0,183333333.3,,2026-01-24,NaT,Lagos
23,Tastefully Built 5 Bedroom Fully Detached Duplex With  Bq.,fully detached,"orchid, lekki, lagos",360000000.0,high,5.0,5.0,72000000.0,,2026-01-24,NaT,Lagos
24,Beautifully Built 6 Bedroom Fully Detached Duplex With  Bq.,fully detached,"orchid, lekki, lagos",400000000.0,high,6.0,6.0,66666666.67,,2026-01-24,NaT,Lagos
25,"Lovely 2 Bedroom Apartment With Pool,gym And Elevator",flat/apartment,"ikate, lekki, lagos",250000000.0,high,2.0,2.0,125000000.0,,2026-01-24,NaT,Lagos
26,Newly Built 2 Bedroom Apartment With Pool And Elevator,flat/apartment,"ikate, lekki, lagos",120000000.0,high,2.0,2.0,60000000.0,,2026-01-22,NaT,Lagos
27,"Magnificent 5 Bedrooms Detached Duplex With Bq, Cinema, Rooftop And Pool",detached duplex,"osapa, lekki, lagos",1550000000.0,high,5.0,5.0,310000000.0,,2026-01-24,NaT,Lagos
28,Luxuriously Built 3 Bedroom Apartment,flat/apartment,"yaba, lagos",150000000.0,high,3.0,4.0,50000000.0,,2026-01-24,NaT,Lagos
29,Half Plot At Prime Busy Location,land,"at new oko-oba, abule egba, agege, lagos",60000000.0,high,,,,,2026-01-24,NaT,Lagos
30,"Clean 4bedroom Semi Detached Duplex With Bq, Elevator, Rooftop Bar,etc",semi detached duplex,"parkview, ikoyi, lagos",1400000000.0,high,4.0,4.0,350000000.0,,2026-01-24,NaT,Lagos
31,Newly Spacious 4 Bedrom Terrace Duplex+ Bq,house,"kudirat abiola way, oregun, ikeja, lagos",290000000.0,high,4.0,5.0,72500000.0,,2026-01-24,NaT,Lagos
32,4 Bedroom Duplex With 2 No 2 Bedroom Flat And 2 Room Bq With C Of O,house,"off kudirat abiola way, oregun ikeja, oregun, ikeja, lagos",250000000.0,high,4.0,,62500000.0,,2026-01-24,NaT,Lagos
33,Newly Built 4 Bedroom Semi Detached Duplex With Bq,semi detached duplex,"surulere, lagos",250000000.0,high,4.0,5.0,62500000.0,,2026-01-24,NaT,Lagos
34,Looking For A Massive Plot In Masha? We Have 830sqm Of Prime Real Esta,land,"off onisemo street, masha, surulere.*, surulere, lagos",600000000.0,high,,,,,2026-01-24,NaT,Lagos
35,600sqm Plot In Strategic And Prime Location,land,"itire-ikate, surulere, lagos",120000000.0,high,,,,,2026-01-24,NaT,Lagos
36,Sharp 6 Bedroom Fully Detached Duplex,fully detached,"thomas estate, ajah, lagos",300000000.0,high,6.0,7.0,50000000.0,,2026-01-24,NaT,Lagos
37,2 Plots Of Land Facing Expressway,land,"lakowe, ibeju lekki, lagos",130000000.0,high,,,,,2026-01-24,NaT,Lagos
38,Luxury Apartments Building Off Plan In Ikeja,flat/apartment,"maryland, lagos",200000000.0,high,2.0,2.0,100000000.0,,2026-01-24,NaT,Lagos
39,Newly Built 5 Bedroom Semi Detached Duplex With Bq,semi detached duplex,"maryland, lagos",470000000.0,high,5.0,6.0,94000000.0,,2026-01-24,NaT,Lagos
40,Well Maintained 4 Bedrooms Terrace Duplex With Bq* Location: *millenni,house,"millennium estate gbagada* title: *governor consent, gbagada, lagos",210000000.0,high,4.0,,52500000.0,,2026-01-24,NaT,Lagos
41,Lovely 4 Bedroom Self Compound Terrace Duplex With A Room Bq.,house,"gbagada, lagos",300000000.0,high,4.0,5.0,75000000.0,,2026-01-24,NaT,Lagos
42,4br Bungalow On A 1850 Square Meter Plot,land,"oduduwa street, ikeja gra, ikeja, lagos",2650000000.0,high,4.0,,662500000.0,,2026-01-22,NaT,Lagos
43,4 Bedroom Semi Detached Duplex With A Bq,semi detached duplex,"orchid road, lekki, lagos",9000000.0,low,4.0,4.0,2250000.0,,2026-01-24,NaT,Lagos
44,3 Bedroom Terrace Duplex,house,"idera, lekki expressway, lekki, lagos",85000000.0,high,3.0,3.0,28333333.33,,2026-01-24,NaT,Lagos
45,A Serviced Plot Of Land,land,"adiva beachwood estate, lekki expressway, lekki, lagos",50000000.0,mid,,,,,2026-01-24,NaT,Lagos
46,"5 Bedroom Detached Duplex With Cinema, Pool, Bq & Rooftop Terrace",detached duplex,"lekki phase 1, lekki, lagos",1200000000.0,high,5.0,5.0,240000000.0,,2026-01-23,NaT,Lagos
47,Fully Detached Duplex,fully detached,"off admiralty way, lekki phase 1, lekki, lagos",800000000.0,high,4.0,,200000000.0,2026-05-01,2026-01-24,2026-05,Lagos
48,Luxury One Bedroom Apartment,flat/apartment,"bajulaiye road, akoka, yaba, lagos",14300000.0,mid,1.0,1.0,14300000.0,,2026-01-24,NaT,Lagos
49,"Relatively New, Fully Serviced 4 Bedroom In A Serene Environment",flat/apartment,"parkview, ikoyi, lagos",1095000000.0,high,4.0,4.0,273750000.0,2026-01-01,2026-01-18,2026-01,Lagos
50,Maintained Building Which Consists Of 6 Units Of 3 Bedroom Flat,flat/apartment,"ogba, ikeja, lagos",340000000.0,high,,,,,2026-01-24,NaT,Lagos
51,A Solid 4 Flat Of 3 Bedroom Each On Full Plot Of Land,land,"off college road, ogba, ikeja, lagos",200000000.0,high,,,,2026-07-01,2026-01-24,2026-07,Lagos
52,4 Nos Of 3 Bedroom Flat On 689sqm,land,"alausa, ikeja, lagos",550000000.0,high,3.0,,183333333.3,2026-07-01,2026-01-24,2026-07,Lagos
53,A Block Of 4 Units Of 3 Bedroom Flat,flat/apartment,"obanikoro, shomolu, lagos",330000000.0,high,,,,,2026-01-18,NaT,Lagos
54,3 Bedroom Apartment,flat/apartment,"surulere, lagos",120000000.0,high,3.0,3.0,40000000.0,,2026-01-23,NaT,Lagos
55,4 Bedrooms Fully Detached Duplex And Bq With C Of O,fully detached,"ayayi apata estate, landview residence, sangotedo, ajah, lagos",220000000.0,high,4.0,5.0,55000000.0,,2026-01-24,NaT,Lagos
56,3 Bedroom Terrace Duplex,house,"behind lagos business school, sangotedo, ajah, lagos",112200000.0,high,3.0,3.0,37400000.0,,2026-01-24,NaT,Lagos
57,4 Units Of Miniflat At Decking Level,flat/apartment,"baba adisa ibeji lekki lagos, ibeju lekki, lagos",20000000.0,mid,4.0,,5000000.0,,2026-01-24,NaT,Lagos
58,Luxury 3 Bedroom Bungalow,bungalow,"idea scheme, ibeju lekki, lagos",75000000.0,high,3.0,3.0,25000000.0,,2026-01-24,NaT,Lagos
59,Parcel Of Land,land,"eleranigbe, ibeju lekki, lagos",32200000.0,mid,,,,,2026-01-24,NaT,Lagos
60,50 Units Of Detached Bungalows,bungalow,"eleko, ibeju lekki, lagos",75000000.0,high,3.0,3.0,25000000.0,,2026-01-10,NaT,Lagos
61,"Recent Updates : 1,234sqm Highly Commercial Plot Of:",land,"hassan bus stop, isefun road, ayobo, lagos",130000000.0,high,,,,,2026-01-24,NaT,Lagos
62,"Off Plan, Elegant 1 Bedroom Flat With Bq, Concierge, Pool And Gym",flat/apartment,"ahmadu bello way, victoria island (vi), lagos",195000000.0,high,1.0,1.0,195000000.0,2025-04-06,2025-12-27,2025-04,Lagos
63,4 Bedroom Semi Detached Duplex With A Bq,semi detached duplex,"orchid road, lekki, lagos",9000000.0,low,4.0,4.0,2250000.0,,2026-01-24,NaT,Lagos
64,Fully Serviced 1 Bedroom Duplex,house,"buena vista estate, off orchid road, lekki, lagos",47000000.0,mid,1.0,1.0,47000000.0,2025-02-08,2026-01-16,2025-02,Lagos
65,Standard Miniflat,flat/apartment,"orchid road lekki lagos, lekki, lagos",2600000.0,low,1.0,1.0,2600000.0,,2026-01-24,NaT,Lagos
66,"4 Bedroom Maisonette Apartment With Pool, Gym,kids Area",flat/apartment,"4 bedroom maisonette apartment with pool, gym,kids area, ikate, lekki, lagos",280000000.0,high,4.0,4.0,70000000.0,,2026-01-24,NaT,Lagos
67,"Aesthetically Pleasing 2 Bedroom Apartment With Pool, Gym And Elevator",flat/apartment,"aesthetically pleasing 2 bedroom apartment with pool, gym and elevator, ikate, lekki, lagos",170000000.0,high,2.0,2.0,85000000.0,,2026-01-24,NaT,Lagos
68,Plot Of Land,land,"chois garden estate, abijo, lekki, lagos",49080000.0,mid,,,,2025-12-11,2026-01-24,2025-12,Lagos
69,Ninety Eight Plots Of Land In A Secured And Serene Estate,land,"abijo lekki lagos, abijo, lekki, lagos",30000000.0,mid,,,,,2026-01-24,NaT,Lagos
70,"Best Value 5 Bedroom Detached Duplex With Swimming Pool, Rooftop",detached duplex,"chevron, lekki phase 2, lekki, lagos",520000000.0,high,5.0,5.0,104000000.0,,2026-01-24,NaT,Lagos
71,Best Value  4 Bedroom Semi Detached Duplex On 2 Floors+ Swimming Pool,semi detached duplex,"best value  4 bedroom semi detached duplex on 2 floors+ pool orchid, lekki phase 2, lekki, lagos",200000000.0,high,4.0,4.0,50000000.0,,2026-01-24,NaT,Lagos
72,Fully Detached Duplex,fully detached,"off admiralty way, lekki phase 1, lekki, lagos",800000000.0,high,4.0,,200000000.0,2026-05-01,2026-01-24,2026-05,Lagos
73,"Relatively New, Fully Serviced 4 Bedroom In A Serene Environment",flat/apartment,"parkview, ikoyi, lagos",1095000000.0,high,4.0,4.0,273750000.0,2026-01-01,2026-01-18,2026-01,Lagos
74,A Solid 4 Flat Of 3 Bedroom Each On Full Plot Of Land,land,"off college road, ogba, ikeja, lagos",200000000.0,high,,,,2026-07-01,2026-01-24,2026-07,Lagos
75,4 Nos Of 3 Bedroom Flat On 689sqm,land,"alausa, ikeja, lagos",550000000.0,high,3.0,,183333333.3,2026-07-01,2026-01-24,2026-07,Lagos
76,Luxury 3 Bedroom Bungalow,bungalow,"idea scheme, ibeju lekki, lagos",75000000.0,high,3.0,3.0,25000000.0,,2026-01-24,NaT,Lagos
77,5bedroom Fully Detached Duplex,fully detached,"ologolo, ibeju lekki, lagos",250000000.0,high,5.0,5.0,50000000.0,,2026-01-24,NaT,Lagos
78,Newly Built 4 Bedroom Bungalow,bungalow,"igando, ibeju lekki, lagos",80000000.0,high,4.0,4.0,20000000.0,,2026-01-17,NaT,Lagos
79,Luxurious 4 Bedroom Self Compound Terraced Duplex With Bq,terraced duplex,"gbagada, gbagada, lagos",300000000.0,high,4.0,5.0,75000000.0,,2026-01-24,NaT,Lagos
80,Exquisite 1 Bedroom Apartment,flat/apartment,"bera estate, lekki, lagos",65000000.0,high,1.0,1.0,65000000.0,,2025-12-18,NaT,Lagos
81,Lovely 5 Bedroom Detached Duplex With Bq,detached duplex,"chevron, lekki, lagos",350000000.0,high,5.0,5.0,70000000.0,,2026-01-24,NaT,Lagos
82,Lovely 4 Bedroom Terrace Duplex With Bq,house,"orchid, lekki, lagos",160000000.0,high,4.0,4.0,40000000.0,,2026-01-24,NaT,Lagos
83,Stunning 5 Bedroom Detached Duplex With Bq,detached duplex,"ikota, ikota, lekki, lagos",650000000.0,high,5.0,5.0,130000000.0,,2026-01-24,NaT,Lagos
84,Lovely 5 Bedroom Detached Duplex With Bq,detached duplex,"ikota, ikota, lekki, lagos",250000000.0,high,5.0,5.0,50000000.0,,2026-01-24,NaT,Lagos
85,Luxury 2-bedroom Apartment Suitable For/airbnb,flat/apartment,"luxury 2-bedroom apartment suitable for shortlet/airbnb, ologolo, lekki, lagos",150000000.0,high,2.0,2.0,75000000.0,,2026-01-24,NaT,Lagos
86,Lovely 4 Bedroom Semi Detached Duplex With Bq,semi detached duplex,"ologolo, ologolo, lekki, lagos",300000000.0,high,4.0,4.0,75000000.0,,2026-01-24,NaT,Lagos
87,Very Spacious 5 Bedroom Semi Detached Duplex With Outdoor  Pool,semi detached duplex,"very spacious 5 bedroom semi detached duplex with outdoor  pool, osapa, lekki, lagos",450000000.0,high,5.0,5.0,90000000.0,,2026-01-24,NaT,Lagos
88,"Standard 5 Bedroom Detached Duplex With Swimming Pool, Rooftop Terrace",detached duplex,"call to access estate in chevron, lekki phase 2, lekki, lagos",600000000.0,high,5.0,5.0,120000000.0,,2026-01-24,NaT,Lagos
89,Newly Built 5 Bedroom Luxury Detached Duplex With A Swimming Pool,detached duplex,"lekki conservation, chevron toll gate, lekki phase 2, lekki, lagos",450000000.0,high,5.0,5.0,90000000.0,,2026-01-24,NaT,Lagos
90,Newly Built 4 Bedroom Fully Detached Duplex With Bq,fully detached,"4bedroom in a secured estate available on mortgage payment at orchid, lekki phase 2, lekki, lagos",230000000.0,high,4.0,4.0,57500000.0,,2026-01-24,NaT,Lagos
91,Exquisitely Detailed 5-bedroom Duplex,house,"chevron tollgate, lekki phase 2, lekki, lagos",520000000.0,high,5.0,5.0,104000000.0,,2026-01-24,NaT,Lagos
92,Aesthetically Pleasing 5-bedroom Duplex,house,"chevron tollgate, lekki phase 2, lekki, lagos",480000000.0,high,5.0,5.0,96000000.0,,2026-01-24,NaT,Lagos
93,"Investment Worthy 2 Bedroom Apartment  With Bq, Swimming Pool",flat/apartment,"investment worthy 2 bedroom apartment  with bq, swimming pool, lekki phase 1, lekki, lagos",250000000.0,high,2.0,2.0,125000000.0,,2026-01-24,NaT,Lagos
94,"Very Spacious 2 Bedroom Apartment  With Bq, Swimming Pool, Elevator,",flat/apartment,"very spacious 2 bedroom apartment  with bq, swimming pool, elevator, lekki phase 1, lekki, lagos",240000000.0,high,2.0,2.0,120000000.0,,2026-01-24,NaT,Lagos
95,"Very Spacious 3 Bedroom Terrace Duplex + Bq With Swimming Pool,kids",house,"2 minutes walk from the coastal road, ajah, lagos",160000000.0,high,3.0,3.0,53333333.33,,2026-01-24,NaT,Lagos
96,Luxurious 3bedroom,flat/apartment,"thera peace, sangotedo, ajah, lagos",80000000.0,high,3.0,3.0,26666666.67,,2026-01-24,NaT,Lagos
97,658 Sqm In A Strategic And Serene Environment,land,"sangotedo, ajah, lagos",115000000.0,high,,,,,2026-01-24,NaT,Lagos
98,Luxury Three Bedroom Terrace With Excellent Finishing,flat/apartment,"sangotedo, ajah, lagos",105000000.0,high,3.0,4.0,35000000.0,2026-04-01,2026-01-24,2026-04,Lagos
99,Luxury Fairly New 4 Bedroom + A Room Bq,flat/apartment,"maryland, lagos",400000000.0,high,4.0,7.0,100000000.0,,2026-01-24,NaT,Lagos
100,Aesthetically Built 4 Bedroom Terrace Duplex With Bq,house,"ilupeju, lagos",300000000.0,high,4.0,4.0,75000000.0,,2026-01-24,NaT,Lagos
101,"Well Designed Off Plan Glass 3 Bedrooms Condo + Bq, Gym, Elevator, Pool",flat/apartment,"off ahmadu bello way, victoria island (vi), lagos",550000000.0,high,3.0,3.0,183333333.3,,2025-11-09,NaT,Lagos
102,Lovely 4 Bedroom Semi Detached Duplex With Bq,semi detached duplex,"orchid, lekki, lagos",330000000.0,high,4.0,4.0,82500000.0,,2026-01-24,NaT,Lagos
103,Lovely 4 Bedroom Detached Duplex With Bq,detached duplex,"orchid, lekki, lagos",330000000.0,high,4.0,4.0,82500000.0,,2026-01-24,NaT,Lagos
104,Fully Serviced 3 Bedroom Flat With 24 Hours Light,flat/apartment,"northern foreshore estate, lekki, lagos",180000000.0,high,3.0,3.0,60000000.0,,2026-01-24,NaT,Lagos
105,3 Bedroom Terraced Duplex With A Room Boys Quarter And Self Compound S,terraced duplex,"lekki scheme ii, lekki peninsula, lekki, lagos",130000000.0,high,3.0,3.0,43333333.33,,2026-01-24,NaT,Lagos
106,"Contemporary 5 Bedroom Fully Detach  Duplex + Pool+ Elevator, Rooftop",house,"royal garden esatre ajah, lekki, lagos",960000000.0,high,5.0,5.0,192000000.0,,2026-01-05,NaT,Lagos
107,Lovely 2 Bedroom Apartment,flat/apartment,"ikate, ikate, lekki, lagos",150000000.0,high,2.0,2.0,75000000.0,,2026-01-24,NaT,Lagos
108,Lovely 5 Bedroom Detached Duplex With Bq,detached duplex,"ikota, ikota, lekki, lagos",250000000.0,high,5.0,5.0,50000000.0,,2026-01-24,NaT,Lagos
109,4-bedroom Semi-detached Duplex With Bq At Ikota Villa Lekk,semi detached duplex,"ikota villa gra, lekki, ikota, lekki, lagos",200000000.0,high,4.0,4.0,50000000.0,,2026-01-24,NaT,Lagos
110,New Tastefully Finished 2 Bedrooms Serviced Apartment,flat/apartment,"igbo efon, lekki, lagos",90000000.0,high,2.0,3.0,45000000.0,,2026-01-05,NaT,Lagos
111,Lovely 4 Bedroom Semi Detached Duplex With Bq,semi detached duplex,"ologolo, ologolo, lekki, lagos",300000000.0,high,4.0,4.0,75000000.0,,2026-01-24,NaT,Lagos
112,5 Bedroom Semi Detached Duplex With Bq,semi detached duplex,"vgc estate, vgc, lekki, lagos",400000000.0,high,5.0,6.0,80000000.0,,2026-01-24,NaT,Lagos
113,Exquisitely Detailed 5-bedroom Duplex,house,"chevron tollgate, lekki phase 2, lekki, lagos",520000000.0,high,5.0,5.0,104000000.0,,2026-01-24,NaT,Lagos
114,Aesthetically Pleasing 5-bedroom Duplex,house,"chevron tollgate, lekki phase 2, lekki, lagos",480000000.0,high,5.0,5.0,96000000.0,,2026-01-24,NaT,Lagos
115,5bedroom  Fully Detached Duplex,fully detached,"orchid, lekki phase 2, lekki, lagos",500000000.0,high,5.0,5.0,100000000.0,,2026-01-24,NaT,Lagos
116,Luxury 2 Bedroom Apartment,flat/apartment,"lekki phase 1, lekki, lagos",230000000.0,high,2.0,2.0,115000000.0,,2026-01-22,NaT,Lagos
117,400sqm Land,land,"eden gardens estate, ajah, lagos",85000000.0,high,,,,,2026-01-24,NaT,Lagos
118,Luxury Three Bedroom Terrace With Excellent Finishing,flat/apartment,"sangotedo, ajah, lagos",105000000.0,high,3.0,4.0,35000000.0,2026-04-01,2026-01-24,2026-04,Lagos
119,5 Bedroom Fully Detached Duplex With A Bq.,fully detached,"fountain spring estate, behind shoprite, sangotedo, ajah, lagos",300000000.0,high,5.0,5.0,60000000.0,,2026-01-24,NaT,Lagos
120,Luxury Fairly New 4 Bedroom + A Room Bq,flat/apartment,"maryland, lagos",400000000.0,high,4.0,7.0,100000000.0,,2026-01-24,NaT,Lagos
121,"Contemporary 5 Bedroom Fully Detach  Duplex + Pool+ Elevator, Rooftop",house,"royal garden esatre ajah, lekki, lagos",960000000.0,high,5.0,5.0,192000000.0,,2026-01-05,NaT,Lagos
122,Contemporary 5 Bedroom Fully Detached Duplex Plus Pool,fully detached,"royal gardens, lekki, lagos",500000000.0,high,5.0,7.0,100000000.0,,2026-01-05,NaT,Lagos
123,Brand New Spacious 4 Bedroom Terraced Duplex With Bq,terraced duplex,"lekki, lagos",350000000.0,high,4.0,5.0,87500000.0,,2026-01-05,NaT,Lagos
124,Spacious 3bedroom Terraced Duplex Plus Bq Comes With Solar,terraced duplex,"lekki, lagos",100000000.0,high,3.0,3.0,33333333.33,2025-03-12,2026-01-05,2025-03,Lagos
125,Brand New Luxury 5bedroom Fully Detached Duplex 320m,fully detached,"lekki, lagos",320000000.0,high,5.0,7.0,64000000.0,2025-03-12,2026-01-05,2025-03,Lagos
126,Brand New Spacious 1 Bedroom Apartment Available,flat/apartment,"orchid road, lekki, lagos",60000000.0,high,1.0,,60000000.0,2025-05-12,2026-01-05,2025-05,Lagos
127,4 Bedroom Fully Detached Duplex With Bq,fully detached,"chevron, lekki, lagos",350000000.0,high,4.0,5.0,87500000.0,2025-08-12,2026-01-05,2025-08,Lagos
128,Brand New Spacious 5 Bedroom Fully Detached Duplex Duplex,fully detached,"chevron, lekki, lagos",550000000.0,high,5.0,6.0,110000000.0,2025-08-12,2026-01-05,2025-08,Lagos
129,5 Bedroom Luxury Home Available,flat/apartment,"chevron, lekki, lagos",450000000.0,high,5.0,6.0,90000000.0,2025-08-12,2026-01-05,2025-08,Lagos
130,Contemporary 5 Bedroom Detached Duplex + Bq +pool,detached duplex,"chevron, lekki, lagos",450000000.0,high,5.0,6.0,90000000.0,2025-08-12,2026-01-05,2025-08,Lagos
131,Contemporary 5 Bedroom Fully Detached Duplex,fully detached,"chevron, lekki, lagos",450000000.0,high,5.0,6.0,90000000.0,2025-08-12,2026-01-05,2025-08,Lagos
132,Brand New Spacious  3 Bedrooms Terraced Duplex,terraced duplex,"ikota, lekki, lagos",130000000.0,high,3.0,4.0,43333333.33,2025-01-12,2026-01-05,2025-01,Lagos
133,Brand New Spacious 4 Bedroom Terraced Duplex Available,terraced duplex,"ikota, lekki, lagos",125000000.0,high,4.0,4.0,31250000.0,2025-10-12,2026-01-05,2025-10,Lagos
134,New Tastefully Finished 2 Bedrooms Serviced Apartment,flat/apartment,"igbo efon, lekki, lagos",90000000.0,high,2.0,3.0,45000000.0,,2026-01-05,NaT,Lagos
135,Brand New Spacious 2 Bedroom Apartment Available,flat/apartment,"osapa, lekki, lagos",140000000.0,high,2.0,3.0,70000000.0,,2026-01-05,NaT,Lagos
136,Spacious  Massive 2 Bedroom Apartment Available,flat/apartment,"agungi, lekki, lagos",110000000.0,high,2.0,3.0,55000000.0,,2026-01-05,NaT,Lagos
137,An Exquisite 3 Bedroom Apartment With Elevator And Swimming Pool,flat/apartment,"banana island, ikoyi, lagos",1570000000.0,high,4.0,5.0,392500000.0,,2026-01-05,NaT,Lagos
138,Contemporary 6 Bedroom Fully Detached Duplex  + Pool,fully detached,"royal gardens, ajah, lagos",800000000.0,high,5.0,6.0,160000000.0,,2026-01-05,NaT,Lagos
139,5 Bedrooms Fully Detached Duplex,fully detached,"royal garden estate, ajah, lagos",600000000.0,high,5.0,6.0,120000000.0,2025-03-12,2026-01-05,2025-03,Lagos
140,4 Bedroom Semi Detached Duplex With Seperate Mix Use Studio,semi detached duplex,"ikate, lekki, lagos",350000000.0,high,4.0,4.0,87500000.0,2025-06-11,2026-01-16,2025-06,Lagos
141,Contemporary 5 Bedroom Fully Detached Duplex,fully detached,"chevron, lekki, lagos",450000000.0,high,5.0,6.0,90000000.0,2025-08-12,2026-01-05,2025-08,Lagos
142,Elegant 4 Bedroom Semi Detached Duplex With Bq,semi detached duplex,"vgc, lekki, lagos",160000000.0,high,4.0,5.0,40000000.0,2025-10-12,2026-01-05,2025-10,Lagos
143,5 Bedroom Fully Detached Duplex With A Bq,fully detached,"chevron, lekki, lagos",750000000.0,high,5.0,6.0,150000000.0,2025-10-12,2026-01-05,2025-10,Lagos
144,Brand New Spacious 2 Bedroom Apartment,flat/apartment,"orchid road, lekki, lagos",90000000.0,high,2.0,2.0,45000000.0,2025-12-12,2026-01-05,2025-12,Lagos
145,Brand New Spacious 3 Bedroom Apartment Available,flat/apartment,"orchid road, lekki, lagos",120000000.0,high,3.0,3.0,40000000.0,2025-12-12,2026-01-05,2025-12,Lagos
146,1200 Square Meters Commercial Land Available 800m,land,"orchid road, lekki, lagos",800000000.0,high,,,,2026-05-01,2026-01-05,2026-05,Lagos
147,Brand New Spacious 4 Bedroom Semi Detached Duplex Available Duplex,semi detached duplex,"orchid road, lekki, lagos",150000000.0,high,4.0,5.0,37500000.0,2026-12-01,2026-01-12,2026-12,Lagos
148,Brand New Spacious 4 Bedroom Terraced Duplex Available,terraced duplex,"orchid road, lekki, lagos",100000000.0,high,4.0,4.0,25000000.0,2026-12-01,2026-01-13,2026-12,Lagos
149,Spacious 4 Bedroom Terraced Duplex,terraced duplex,"orchid road, lekki, lagos",130000000.0,high,4.0,5.0,32500000.0,,2026-01-21,NaT,Lagos
150,Now Selling  4 Bedroom Fully Detached Duplex With A Bq,fully detached,"orchid road, lekki, lagos",320000000.0,high,5.0,7.0,64000000.0,,2026-01-21,NaT,Lagos
151,Brand New Spacious 2 Bedroom Apartment,flat/apartment,"ikate, lekki, lagos",160000000.0,high,2.0,3.0,80000000.0,,2026-01-05,NaT,Lagos
152,Brand New Spacious 4 Bedroom Terraced Duplex Available,terraced duplex,"ikota, lekki, lagos",125000000.0,high,4.0,4.0,31250000.0,2025-10-12,2026-01-05,2025-10,Lagos
153,4 Bedroom Semi Detached Duplex With A Bq,semi detached duplex,"ikota, lekki, lagos",200000000.0,high,4.0,5.0,50000000.0,2025-10-12,2026-01-05,2025-10,Lagos
